,index,Date,Open,Close,High,Low,Volume,sma7,sma25,sma99,bb_sma,bb_ub,bb_lb,psar,RSI,twap
36063,36163,2020-01-13 10:00:00,8099.0,8108.0,8108.0,8097.0,0.1740898855,8091.589801307143,8112.658323658001,8012.128028951111,8110.727904572501,8167.6195539435175,8053.836255201484,8153.990065880765,50.75182104214743,8102.132710091666
36064,36164,2020-01-13 11:00:00,8108.0,8070.5135133,8109.9,8070.5135133,0.07960886404999999,8085.548874635715,8111.0908641900005,8013.461498782424,8107.358580237499,8165.384654388333,8049.3325060866655,8146.022860610304,45.03655690041115,8093.987837766666
36065,36165,2020-01-13 12:00:00,8070.5135133,8081.1,8088.17148447,8053.6,0.18433939634000002,8085.137561178572,8110.39486419,8015.456448277374,8107.0885802375,8165.548996030335,8048.628164444664,8138.69303176148,46.85665730023615,8078.966418511667
36066,36166,2020-01-13 13:00:00,8081.3594784,8079.6,8097.8,8074.2,0.07725694526,8088.637561178572,8108.56286419,8017.358895055252,8106.9247833335,8165.673288826096,8048.176277840905,8130.183728585332,46.6210830276339,8079.078580744999
36067,36167,2020-01-13 14:00:00,8079.5,8079.02439,8082.8,8062.0,0.10139783683999999,8090.312474035714,8105.67583979,8019.435909095657,8105.701002833501,8165.6904761119185,8045.711529555083,8122.525355726799,46.5244202478841,8079.237398333333
36068,36168,2020-01-13 15:00:00,8079.1,8066.8,8081.1,8063.9,0.08067643976,8083.433451978572,8103.663839789999,8021.166212125959,8103.506002833499,8165.772562189059,8041.23944347794,8115.632820154119,44.41811830459105,8072.604065
36069,36169,2020-01-13 16:00:00,8066.8,8087.8,8092.7,8061.0,0.23422260266999997,8081.833986185715,8101.65983979,8023.1015656613135,8101.6760028335,8163.5286721005805,8039.82333356642,8109.429538138707,48.71366189684283,8075.550000000001
36070,36170,2020-01-13 17:00:00,8087.8,8084.5,8117.8,8080.4,0.10734709524,8078.476843328572,8101.57983979,8025.099545459292,8100.941002833501,8163.24163438828,8038.640371278723,8053.6,48.084776063642586,8087.366666666667
36071,36171,2020-01-13 18:00:00,8084.5,8097.0,8097.5,8082.9,0.04087689973,8082.260627142858,8102.144802266801,8027.083383843131,8098.386002833501,8156.811756487538,8039.960249179464,8054.884,50.68198778601977,8093.35
36072,36172,2020-01-13 19:00:00,8097.0,8105.0,8117.0,8096.9,0.12737379917,8085.674912857144,8102.2048022668005,8029.9157070754545,8094.901002833501,8141.9007001627615,8047.90130550424,8056.14232,52.32583106788998,8099.383333333333
